Reported Acceptor,Reported Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),acceptor type,acceptor class,core fused ring size,donor,acceptor ID with shortened chains,acc_SMILES,donor ID with shortened chains,don_SMILES
BTDT2R,PPDT2FBT,10.1021/acsami.9b09256,1.07,11.23,57,6.9,sm,unfused,2,,BTDT2R,CCOc1c(OCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,PPDT2FBT,CCOc1ccc(OCC)c(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5cc(OCC)c(-c6ccc(-c7c(F)c(F)c(-c8ccc(-c9cc(OCC)c(-c%10ccc(-c%11c(F)c(F)c(-c%12cccs%12)c%12nsnc%11%12)s%10)cc9OCC)s8)c8nsnc78)s6)cc5OCC)s4)c4nsnc34)s2)c1
BTDT2R,PTB7-Th,10.1021/acsami.9b09256,1.06,13.52,57,8.19,sm,unfused,2,,BTDT2R,CCOc1c(OCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
BTDT2R,P3HT,10.1021/acsami.9b09256,0.81,9.42,67,5.09,sm,unfused,2,,BTDT2R,CCOc1c(OCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,P3HT,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC
CDTBM,PTB7-Th,10.1021/acsenergylett.8b00045,0.67,12.7,62,5.6,sm,unfused,3,,CDTBM,CCC1(CC)c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)sc2-c2sc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
IDTT-2BM,PTB7-Th,10.1021/acsenergylett.8b00045,0.83,15.8,63,8.4,sm,fused,7,,IDTT-2BM,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nsnc67)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)cc1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
ITIC-C9,PBDB-TF,10.1021/acs.chemmater.7b04616,0.99,14.5,66.6,9.53,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
ITIC-2F_aldrich,PBDB-TF,10.1021/jacs.8b13653,0.92,17.3,65.7,10.38,sm,fused,7,,a-IT-2F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
ITIC-3F,PBDB-TF,10.1021/jacs.8b13653,0.89,19.4,66.5,11.44,sm,fused,7,,ITIC-3F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(cc(F)c(F)c5F)C4=C(C#N)C#N)sc23)cc1,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
ITIC-6F,PBDB-TF,10.1021/jacs.8b13653,0.82,21.6,67.4,11.89,sm,fused,7,,ITIC-6F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(cc(F)c(F)c7F)C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(cc(F)c(F)c5F)C4=C(C#N)C#N)sc23)cc1,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
ITIC-Th,PB24-3TDC,10.1002/solr.201800291,0.902,16.8,68,10.3,sm,fused,7,,ITIC-Th,CCc1ccc(C2(c3ccc(CC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)s2)(c2ccc(CC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,PB24-3TDC,CCOC(=O)c1ccsc1-c1ccc(-c2sc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc(C(=O)OCC)c(-c7ccc(-c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc(C(=O)OCC)c(-c%13ccc(-c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14C(=O)OCC)s%13)s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8C(=O)OCC)s7)s6)s5)c5nn(CC)nc45)s3)cc2C(=O)OCC)s1
BDTIT-M,PBDB-T,10.1039/C7TA10763C,0.903,17.56,71.3,11.31,sm,fused,7,,BDTIT-M,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,PBDB-T,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
BDTThIT-M,PBDB-T,10.1039/C7TA10763C,0.942,18.03,71.4,12.12,sm,fused,7,,BDTThIT-M,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC)s5)c5c6c(sc5c(-c5ccc(CC)s5)c4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,PBDB-T,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
IT-4F,PBDT-3TCO,10.1007/s11426-018-9408-7,0.88,20.94,63.68,11.77,sm,fused,7,,IT-4F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,PBDT-3TCO,CCCc1sc(-c2c3cc(-c4cc(C(=O)CC)c(-c5ccc(-c6sc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10cc(C(=O)CC)c(-c%11ccc(-c%12sc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sccc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)cc%12C(=O)CC)s%11)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)cc6C(=O)CC)s5)s4)sc3c(-c3cc(F)c(CC)s3)c3cc(-c4cc(C(=O)CC)c(-c5ccc(-c6sccc6C(=O)CC)s5)s4)sc23)cc1F
ITIC,PB2T,10.1002/adfm.201706517,0.56,0.08,26,0.01,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,PB2T,CCOC(=O)c1ccsc1-c1cc(C(=O)OCC)c(-c2cc3c(-c4ccc(CC)s4)c4sc(-c5cc(C(=O)OCC)c(-c6cc(C(=O)OCC)c(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10cc(C(=O)OCC)c(-c%11cc(C(=O)OCC)c(-c%12cc%13c(-c%14ccc(CC)s%14)c%14sccc%14c(-c%14ccc(CC)s%14)c%13s%12)s%11)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)s5)cc4c(-c4ccc(CC)s4)c3s2)s1
ITIC,PBDT-S-2TC,10.1002/adfm.201706517,0.96,16.4,64.3,10.12,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,PBDT-S-2TC,CCOC(=O)c1cc(-c2cc3c(-c4ccc(SCC)s4)c4sc(-c5ccc(-c6sc(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10ccc(-c%11sc(-c%12cc%13c(-c%14ccc(SCC)s%14)c%14sccc%14c(-c%14ccc(SCC)s%14)c%13s%12)cc%11C(=O)OCC)s%10)cc9c(-c9ccc(SCC)s9)c8s7)cc6C(=O)OCC)s5)cc4c(-c4ccc(SCC)s4)c3s2)sc1-c1cccs1
Br-ITIC,PBDB-TF,10.1016/j.nanoen.2019.04.018,0.937,18.53,72.7,12.63,sm,fused,7,,Br-ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(Br)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(Br)cc5C4=C(C#N)C#N)sc23)cc1,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F
Br-ITIC,J71,10.1016/j.nanoen.2019.04.018,0.876,18.27,76.2,12.19,sm,fused,7,,Br-ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(Br)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(Br)cc5C4=C(C#N)C#N)sc23)cc1,J71,CCn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12ccc([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18ccc([Si](CC)(CC)CC)s%18)c%18sc(C)cc%18c(-c%18ccc([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12ccc([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc([Si](CC)(CC)CC)s6)c5s4)s3)c2n1
O-IDTBR,BDT3TR,10.1039/C6TA06367E,1.06,12.1,55,7.09,sm,fused,5,sm,EH-IDTBR,CCN1C(=O)/C(=C/c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(CC)CC)-c3sc(-c4ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc46)cc3C5(CC)CC)c3nsnc23)SC1=S,BDT3TR,CCc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10cc(CC)c(-c%11ccc(-c%12sc(/C=C%13/SC(=S)N(CC)C%13=O)cc%12CC)s%11)s%10)cc9c(-c9ccc(CC)s9)c8s7)cc6c(-c6ccc(CC)s6)c5s4)sc3c(-c3ccc(CC)s3)c3cc(-c4cc(CC)c(-c5ccc(-c6sc(/C=C7/SC(=S)N(CC)C7=O)cc6CC)s5)s4)sc23)s1
TIDT-BT-R2,PTB7-Th,10.1002/smtd.201700373,1.04,13.1,63.9,8.7,sm,unfused,3,,TIDT-BT-R2,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(-c4ccc(-c5ccc(/C=C6/SC(=S)N(CC)C6=O)c6nsnc56)s4)ccc3-c3sc(-c4ccc(/C=C5/SC(=S)N(CC)C5=O)c5nsnc45)cc32)cc1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
ITIC,PTBTz-2,10.1021/acs.chemmater.7b01650,0.88,20.34,60.5,10.92,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,PTBTz-2,CCOC(=O)c1cc2c(-c3nccs3)sc(-c3ncc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7cnc(-c8sc(-c9ncc(-c%10cc%11c(-c%12ccc(CC)s%12)c%12sc(-c%13cnc(-c%14sc(-c%15ncc(-c%16cc%17c(-c%18ccc(CC)s%18)c%18sccc%18c(-c%18ccc(CC)s%18)c%17s%16)s%15)c%15sc(C(=O)OCC)cc%14%15)s%13)cc%12c(-c%12ccc(CC)s%12)c%11s%10)s9)c9sc(C(=O)OCC)cc89)s7)cc6c(-c6ccc(CC)s6)c5s4)s3)c2s1
FBR,PffBT4T-2DT,10.1039/C6EE02598F,1.12,11.5,61,7.8,sm,unfused,3,,FBR,CCN1C(=O)/C(=C/c2ccc(-c3ccc4c(c3)C(CC)(CC)c3cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)ccc3-4)c3nsnc23)SC1=S,PffBT4T-2DT,CCc1csc(-c2c(F)c(F)c(-c3cc(CC)c(-c4ccc(-c5ccc(-c6sc(-c7c(F)c(F)c(-c8cc(CC)c(-c9ccc(-c%10ccc(-c%11sc(-c%12c(F)c(F)c(-c%13cc(CC)c(-c%14ccc(-c%15cccs%15)s%14)s%13)c%13nsnc%12%13)cc%11CC)s%10)s9)s8)c8nsnc78)cc6CC)s5)s4)s3)c3nsnc23)c1
IDTBR,P3HT,10.1038/nmat4797,0.82,13.9,60,6.3,sm,fused,5,,EH-IDTBR,CCN1C(=O)/C(=C/c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(CC)CC)-c3sc(-c4ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc46)cc3C5(CC)CC)c3nsnc23)SC1=S,P3HT,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC
IDFBR,P3HT,10.1038/nmat4797,0.89,7.4,68,4.5,sm,fused,5,,IDFBR,CCN1C(=O)/C(=C/c2ccc(-c3ccc4c(c3)C(CC)(CC)c3cc5c(cc3-4)C(CC)(CC)c3cc(-c4ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc46)ccc3-5)c3nsnc23)SC1=S,P3HT,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC
ITIC,HTAZ,10.1039/C7TA07882J,0.85,13.09,40.8,4.26,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,HTAZ,CCc1c2cc(-c3ccc(-c4ccc(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16ccc(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12
ITIC,FTAZ,10.1039/C7TA07882J,0.91,16.25,56.5,8.37,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,FTAZ,CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12
ITIC,J71,10.1038/ncomms13651,0.94,17.32,69.77,11.41,sm,fused,7,,ITIC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,J71,CCn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12ccc([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18ccc([Si](CC)(CC)CC)s%18)c%18sc(C)cc%18c(-c%18ccc([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12ccc([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc([Si](CC)(CC)CC)s6)c5s4)s3)c2n1
IDIC,H11,10.1021/jacs.6b12826,0.977,15.21,65.46,9.73,sm,fused,5,sm,IDIC,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,H11,CCOC(=O)/C(C#N)=C\c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc(CC)s6)c5s4)s3)c3nn(CC)nc23)s1
IDIC,H12,10.1021/jacs.6b12826,0.955,10.51,54.89,5.51,sm,fused,5,sm,IDIC,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,H12,CCOC(=O)/C(C#N)=C\c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(OCC)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC)s9)c9nn(CC)nc89)s7)cc6c(OCC)c5s4)s3)c3nn(CC)nc23)s1
m-ITIC,J71,10.1002/aenm.201702324,0.94,18.09,70.6,12.05,sm,fused,7,,m-ITIC,CCc1cccc(C2(c3cccc(CC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CC)c2)(c2cccc(CC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,J71,CCn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12ccc([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18ccc([Si](CC)(CC)CC)s%18)c%18sc(C)cc%18c(-c%18ccc([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12ccc([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc([Si](CC)(CC)CC)s6)c5s4)s3)c2n1
